p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,0,-,0,2.034259699998074,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
1,1,1.0,0,-,0,1.4032223999965936,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
1,1,1.0,0,-,0,1.406611400001566,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
1,1,1.0,0,-,0,1.1931436000013491,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
1,1,1.0,0,-,0,0.6849873999963165,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
1,1,1.0,180,-,180,0.4839226999974926,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
1,1,1.0,0,-,0,0.2429991999961203,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
1,1,1.0,180,-,180,0.3332349000047543,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
1,1,1.0,0,-,0,0.5138965000005555,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
1,1,1.0,0,-,0,0.40026689999649534,-,-,-,10,10,10,10,1.0,1.0,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.15,0,-,0,0.6696613999956753,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.4,180,-,180,0.6543441000030725,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.15,180,-,180,0.5821035000044503,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.15,0,-,180,0.7852733999970951,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.4,0,-,0,0.5403778999971109,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.15,0,-,0,0.6745702999978676,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.4,180,-,180,0.45780650000233436,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.4,0,-,0,0.5862540000016452,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.15,0,-,0,0.7339338000019779,-,-,-,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
2,1,0.4,0,-,0,0.4353248000043095,-,-,-,9,5,10,5,0.9,1.0,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,0,180,180,2.833488900003431,['y'],3.5682406999985687,2,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,0,180,180,2.224822399999539,['y'],1.8832214000067324,2.0,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,0,180,180,1.090382700000191,['y'],1.2816058000025805,2.0,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,180,0,0,1.6944373000005726,['y'],1.7634945999961928,2.0,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,0,180,180,2.238029699998151,['y'],2.1116589000012027,2.0,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,0,180,180,0.8081555999960983,['y'],1.0832694000055199,2.0,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,180,0,0,0.9232297999988077,['y'],2.7200433000034536,1.8900000000000001,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,180,0,0,0.6000371999980416,['y'],1.2822755000015604,2.0,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,0,180,180,1.3269437000053586,['y'],1.141200600002776,2.0,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
3,2,1.0,0,180,180,0.5852888999943389,['y'],1.1016133000011905,1.93,10,10,10,10,1.0,1.0,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.4,180,0,0,1.0960196000014548,['y'],0.9913267999945674,1.944,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.4,180,0,0,0.7950074999971548,['y'],0.7018567999984953,1.954,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.4,180,0,0,0.8384900000019115,['y'],1.1984909000020707,1.892,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.4,0,180,180,0.8219352000014624,['y'],1.0244543999942834,1.892,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.15,0,180,180,0.5261788999996497,['y'],1.186358899998595,1.874,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.15,0,180,0,1.2440174000003026,['y'],1.1246144999968237,1.766,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.4,0,180,180,0.448898000002373,['y'],0.9865082000032999,1.866,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.4,0,180,0,1.8055871000033221,['y'],0.7762796000024537,1.87,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.4,0,180,180,0.49513170000136597,['y'],0.8152383000051486,1.854,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
4,2,0.4,0,180,180,0.524928999999247,['y'],0.8658962999979849,1.8439999999999999,8,7,10,8,0.8,0.875,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,1.0,0,180,180,0.6316133000000264,['y'],1.1373112000001129,1.944,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.4,0,-,180,0.7812724000032176,['y'],1.3297773000012967,1.734,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,1.0,0,-,0,2.216973100003088,['n'],0.7566821000000346,1.724,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.15,0,180,0,1.3693233999947552,['n'],1.0371279999963008,1.6,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.4,0,-,0,1.6083246000052895,['n'],0.7945689000043785,1.764,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.4,180,-,180,0.6504398999968544,['n'],0.5781063000031281,1.806,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.4,180,0,180,2.1376049000027706,['n'],3.758501599993906,1.68,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.15,0,-,180,0.7667137999960687,['n'],1.0779900999987149,1.69,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.15,180,0,180,1.4216323000000557,['n'],1.2867480999993859,1.6480000000000001,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.15,0,-,0,3.092219099999056,['n'],1.290864700000384,1.6440000000000001,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,1.0,180,0,0,1.4280474999977741,['y'],1.4278819000028307,1.824,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.15,0,-,0,1.3576040000043577,['n'],1.217523599996639,1.676,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.15,180,0,0,2.1671015999963856,['n'],0.41080719999445137,1.6600000000000001,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.15,0,180,0,2.4336627000011504,['n'],0.2740209999974468,1.576,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,1.0,0,180,180,1.4119926999992458,['y'],1.4546521000011126,1.954,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.15,0,-,0,4.9152954000019236,['n'],0.6730533000009018,1.626,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,1.0,180,0,0,1.3385756999996374,['y'],1.007397300003504,1.5739999999999998,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,1.0,180,0,0,0.742290200003481,['y'],1.1391231000015978,1.696,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
5,3,0.4,180,-,0,1.61487710000074,['n'],0.9372375000020838,1.57,,,,,,,,518,20,Woman,Right,,,,,,,,,,,,,,,,,518,20,Woman,Right,
