p_block,p_section,p_coherence,p_direction1,p_direction2,p_direction_response,p_direction_RT,p_change_response,p_change_RT,p_confidence,p_full_correct,p_without5_correct,p_full_total,p_without5_total,p_full_avg,p_witout5_avg,p_total_time,sub,age,sex,handedness,loop,trial randomization,coherence,condition,direction1,direction2,direction_response,direction_RT,change_response,change_RT,change_confidence,change_confidence_RT,block_direction_avg,block_stable_avg,block_change_avg,total_time,sub,age,sex,handedness,
1,1,1.0,0,-,0,0.24385219999999208,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,180,-,180,0.724937700000055,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,0,0.9381717999999637,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,180,-,180,0.27865169999995487,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,180,-,0,0.01677039999981389,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,180,-,0,0.7033071000000746,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,0,0.05334519999996701,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,0,0.036688899999944624,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,180,0.2861043000000336,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,0,0.01677109999991444,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,0,0.09400529999993523,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,180,-,180,0.3894228000001476,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,180,-,0,0.32874730000003183,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,0,0.18189080000001923,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,180,-,180,0.016736999999920954,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,0,0.058604999999943175,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,180,0.3630080000000362,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,0,0.1425590999999713,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,0,-,0,0.01974560000007841,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
1,1,1.0,180,-,180,0.09269019999987904,-,-,-,8,8,10,10,0.8,0.8,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.4,0,-,0,0.43528889999993226,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.15,0,-,0,0.5159221999999772,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.15,180,-,180,0.6574066999999104,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.4,0,-,0,0.3451629999999568,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.15,180,-,0,0.3098334999999679,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.15,0,-,180,0.4521234999999706,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.4,0,-,0,0.19604489999983343,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.4,180,-,180,0.6945994999998675,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.15,180,-,180,0.389437899999848,-,-,-,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
2,1,0.4,0,-,180,0.38401070000008986,-,-,-,7,4,10,5,0.7,0.8,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,1.8159492999998292,['y'],2.640705999999909,1.626,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,0,1.0477759000000333,['y'],1.7760964999999942,1.6480000000000001,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,0.5905075000000579,['n'],2.297107800000049,1.254,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,0,0.3121600000001763,['n'],0.941332999999986,1.222,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,1.4272796000000199,['y'],1.355039700000134,1.734,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,0,1.2139808000001722,['y'],1.1914944000000105,1.824,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,0.6302394000001641,['y'],1.239483600000085,1.5939999999999999,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,1.927851099999998,['y'],0.8446378000001005,1.8940000000000001,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,1.3422957000000224,['y'],0.3705955000000358,1.684,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,1.0410561000001053,['y'],0.5605148000001918,1.696,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,0.4966084000000137,['y'],0.6224436000002243,1.672,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,0.4013807999999699,['y'],0.8838671000000886,1.87,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,1.5562933000001067,['y'],0.4795150999998441,1.904,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,1.3760164999998779,['y'],0.43448599999965154,1.896,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,1.0629229000001033,['y'],0.709779200000412,1.88,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,1.2836800999998559,['y'],0.7817672999999559,1.966,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,0.9098883999999998,['y'],0.6185447000002569,1.934,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,1.0260746999997536,['y'],0.5541051999998672,1.932,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,0.5270442999999432,['y'],0.05942579999964437,1.948,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,2.3778142000001026,['y'],1.1562191999996685,1.93,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,0,1.6638810999997986,['y'],0.8389909000002262,1.914,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,1.5611395000000812,['y'],0.5243882999998277,1.72,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,0.5690356000000065,['y'],0.7792812000002414,1.726,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,0.4915765000000647,['n'],2.033670499999971,1.23,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,0,1.2484075000002122,['y'],0.5525186999998368,1.8599999999999999,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,0.8765291999998226,['y'],0.3705502000002525,1.732,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,0.5595524000000296,['y'],0.6348147000003337,1.8519999999999999,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,180,0,180,0.5701395999999477,['y'],0.909534800000074,1.88,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,0.6143480000000636,['y'],0.5595726000001378,1.8599999999999999,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,0.5336681000003409,['y'],0.275664499999948,1.904,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
3,2,1.0,0,180,180,0.551379999999881,['y'],0.49013600000034785,1.912,,,,,,,,522,26,Woman,Right,,,,,,,,,,,,,,,,,522,26,Woman,Right,
